rank,rankType,officialRank,officialMarketShare,estimatedScore,title,source,libraryId,popularityRank,snippets,tokens,updateUtc,updateAgo,trustScore,verified,benchmarkScore,type,docsRepoUrl,docsSiteUrl,score_popularity,score_snippets,score_tokens,score_trust,score_verified,score_recency
1,official,1,11.749559775202007,,/vercel/next.js,/vercel/next.js,/vercel/next.js,,,,,,,,,,,,,,,,,
2,official,2,3.5719439276621507,,/vercel/ai,/vercel/ai,/vercel/ai,,,,,,,,,,,,,,,,,
3,official,3,3.466909193441825,0.812694,Better Auth,/better-auth/better-auth,/better-auth/better-auth,2,2018,473556,2026-02-26T10:48:07.729000Z,5d,7.6,True,77.1,repo,https://github.com/better-auth/better-auth,,1.0,0.528411,0.593853,0.76,1.0,0.838674
4,official,4,2.845657324041388,,/shadcn-ui/ui,/shadcn-ui/ui,/shadcn-ui/ui,,,,,,,,,,,,,,,,,
5,official,5,2.3863418355922783,,/supabase/supabase,/supabase/supabase,/supabase/supabase,,,,,,,,,,,,,,,,,
6,official,6,2.3140592734701326,,/langchain-ai/langgraph,/langchain-ai/langgraph,/langchain-ai/langgraph,,,,,,,,,,,,,,,,,
7,official,7,2.254304804186351,,/n8n-io/n8n-docs,/n8n-io/n8n-docs,/n8n-io/n8n-docs,,,,,,,,,,,,,,,,,
8,official,8,2.133435799052929,0.766937,Claude Code,/anthropics/claude-code,/anthropics/claude-code,7,767,211503,2026-03-03T00:59:55.736000Z,1d,8.8,True,76.8,repo,https://github.com/anthropics/claude-code,,0.90628,0.461299,0.538283,0.88,1.0,0.962179
9,official,9,2.08948242832698,,/tailwindlabs/tailwindcss.com,/tailwindlabs/tailwindcss.com,/tailwindlabs/tailwindcss.com,,,,,,,,,,,,,,,,,
10,official,10,2.0808355010546045,,/reactjs/react.dev,/reactjs/react.dev,/reactjs/react.dev,,,,,,,,,,,,,,,,,
11,official,11,2.068661246672398,,/websites/tailwindcss,/websites/tailwindcss,/websites/tailwindcss,,,,,,,,,,,,,,,,,
12,official,12,1.9836405001285429,,/mongodb/docs,/mongodb/docs,/mongodb/docs,,,,,,,,,,,,,,,,,
13,official,13,1.9664682775530966,,/websites/react_dev,/websites/react_dev,/websites/react_dev,,,,,,,,,,,,,,,,,
14,official,14,1.5328945367895241,,/prisma/docs,/prisma/docs,/prisma/docs,,,,,,,,,,,,,,,,,
15,official,15,1.374784034145411,,/websites/ui_shadcn,/websites/ui_shadcn,/websites/ui_shadcn,,,,,,,,,,,,,,,,,
