rank,title,source,marketShare,tokens,snippets,updateUtc,updateAgo,trustScore,verified,benchmarkScore,type,popularityRank,docsRepoUrl,docsSiteUrl,libraryId
1,Next.js,/vercel/next.js,10.826523971808676,545496,2251,2026-07-09T12:10:21.114000Z,18h,10,True,93.9,repo,1,https://github.com/vercel/next.js,,/vercel/next.js
2,Vercel,/websites/vercel,4.77768574762014,2067330,6399,2026-07-06T15:17:21.358000Z,3d,10,True,72,website,38,https://github.com/context7/vercel,https://vercel.com/docs,/websites/vercel
3,Better Auth,/better-auth/better-auth,4.539686956194157,433462,2158,2026-07-09T10:54:28.699000Z,19h,7.6,True,79.5,repo,2,https://github.com/better-auth/better-auth,,/better-auth/better-auth
4,Vercel AI SDK,/vercel/ai,2.9155235835212583,927490,3707,2026-07-09T18:09:56.629000Z,12h,10,True,83.8,repo,14,https://github.com/vercel/ai,,/vercel/ai
5,React,/reactjs/react.dev,2.6422380342112644,773263,2656,2026-07-09T13:10:31.123000Z,17h,10,True,81.6,repo,3,https://github.com/reactjs/react.dev,,/reactjs/react.dev
6,Supabase,/supabase/supabase,2.5309624153545203,1805514,5644,2026-07-09T12:41:17.320000Z,17h,10,True,80.1,repo,4,https://github.com/supabase/supabase,,/supabase/supabase
7,Claude Code,/anthropics/claude-code,2.438195197499892,165851,934,2026-07-09T14:56:01.645000Z,15h,8.8,True,83,repo,33,https://github.com/anthropics/claude-code,,/anthropics/claude-code
8,Shadcn UI,/shadcn-ui/ui,2.1104900355088994,254056,1433,2026-07-09T13:17:42.478000Z,16h,10,True,84.6,repo,11,https://github.com/shadcn-ui/ui,,/shadcn-ui/ui
9,Tailwind CSS,/tailwindlabs/tailwindcss.com,2.002904836210376,344152,1573,2026-07-09T13:07:54.466000Z,17h,10,True,85.4,repo,6,https://github.com/tailwindlabs/tailwindcss.com,,/tailwindlabs/tailwindcss.com
10,Expo,/expo/expo,1.6620400782635107,3169675,14393,2026-07-09T12:10:05.645000Z,18h,10,True,85.1,repo,5,https://github.com/expo/expo,,/expo/expo
11,OpenClaw,/openclaw/openclaw,1.658201222967165,1594731,6218,2026-07-02T08:43:42.657000Z,7d,7.8,True,81.7,repo,103,https://github.com/openclaw/openclaw,,/openclaw/openclaw
12,n8n,/n8n-io/n8n-docs,1.6327419346417995,546138,1322,2026-07-09T12:59:47.697000Z,17h,9.7,True,82.5,repo,25,https://github.com/n8n-io/n8n-docs,,/n8n-io/n8n-docs
13,LangGraph,/langchain-ai/langgraph,1.3520704277416362,83975,242,2026-07-10T02:03:59.717000Z,4h,9.2,True,78.9,repo,96,https://github.com/langchain-ai/langgraph,,/langchain-ai/langgraph
14,TanStack Query,/tanstack/query,1.3490607651893012,251992,1305,2026-07-09T15:31:24.209000Z,14h,8,True,92.1,repo,13,https://github.com/tanstack/query,,/tanstack/query
15,OpenCode,/anomalyco/opencode,1.2748787254427147,254822,905,2026-07-09T16:01:37.837000Z,14h,9.6,True,83.8,repo,7,https://github.com/anomalyco/opencode,,/anomalyco/opencode
